time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Plot
2012-05-07,5788.25,5826.25,5761.25,5788.75,,5826.25,5761.25,5788.75,5584.0025
2012-05-14,5780,5794.25,5646,5646.25,,5794.25,5646,5646.25,5590.2625
2012-05-21,5650.5,5739.5,5643,5702,,5739.5,5643,5702,5600.86375
2012-05-29,5711.25,5748,5632,5633,,5748,5632,5633,5607.67375
2012-06-04,5638,5748.5,5611.75,5740.5,,5748.5,5611.75,5740.5,5618.875
2012-06-11,5765,5782,5688.25,5747.25,,5782,5688.25,5747.25,5627.89375
2012-06-18,5763.5,5811.5,5731.75,5756.75,,5811.5,5731.75,5756.75,5638.12625
2012-06-25,5757,5799.5,5686.75,5793,,5799.5,5686.75,5793,5646.80875
2012-07-02,5795.25,5839,5773.75,5792.25,,5839,5773.75,5792.25,5653.85875
2012-07-09,5785.75,5808.75,5699.75,5760.25,,5808.75,5699.75,5760.25,5663.11625
2012-07-16,5760.5,5841.25,5731.25,5796.5,,5841.25,5731.25,5796.5,5675.31625
2012-07-23,5792.25,5829.25,5700,5825.25,,5829.25,5700,5825.25,5683.735
2012-07-30,5823.25,5864.5,5783.25,5854.25,,5864.5,5783.25,5854.25,5691.52
2012-08-06,5858.25,5906.5,5855,5904.25,,5906.5,5855,5904.25,5701.27
2012-08-13,5903.25,5963.75,5889,5959.25,,5963.75,5889,5959.25,5711.44375
2012-08-20,5958,5985.75,5933.75,5958.25,,5985.75,5933.75,5958.25,5722.195
2012-08-27,5967.25,5979,5928.5,5954.25,,5979,5928.5,5954.25,5733.5225
2012-09-04,5956.25,6019.5,5926,6006.25,,6019.5,5926,6006.25,5745.01125
2012-09-10,6005.5,6048.5,5958.5,6039.75,,6048.5,5958.5,6039.75,5760.3775
2012-09-17,6041.25,6060.75,6026.25,6041.5,,6060.75,6026.25,6041.5,5774.2275
2012-09-24,6041,6046.25,5951.25,5981,,6046.25,5951.25,5981,5787.7925
2012-10-01,5978,6029.75,5961.5,5993.25,,6029.75,5961.5,5993.25,5802.395
2012-10-08,5995.25,5997,5896.25,5899,,5997,5896.25,5899,5814.2675
2012-10-15,5902,5967.75,5853,5853,,5967.75,5853,5853,5824.91875
2012-10-22,5853.5,5884.25,5793.5,5848,,5884.25,5793.5,5848,5832.68875
2012-10-29,5843.5,5883,5815,5830,,5883,5815,5830,5838.97125
2012-11-05,5829.5,5880.75,5745.25,5769.5,,5880.75,5745.25,5769.5,5843.51375
2012-11-12,5770.5,5786.25,5681,5722,,5786.25,5681,5722,5845.07125
2012-11-19,5724,5827.75,5723.5,5823.25,,5827.75,5723.5,5823.25,5846.51875
2012-11-26,5822,5878.75,5800.5,5869.5,,5878.75,5800.5,5869.5,5849.06625
2012-12-03,5865,5887.5,5811.5,5826.5,,5887.5,5811.5,5826.5,5850.8425
2012-12-10,5826,5885.5,5809,5821,,5885.5,5809,5821,5851.88125
2012-12-17,5824.25,5907.25,5803,5859.75,,5907.25,5803,5859.75,5853.76625
2012-12-24,5853.5,5856.25,5776,5778.5,,5856.25,5776,5778.5,5852.44125
2012-12-31,5783.75,5940.5,5773.5,5909.25,,5940.5,5773.5,5909.25,5852.315
2013-01-07,5909.75,5938,5892,5936.75,,5938,5892,5936.75,5851.875
2013-01-14,5937.5,5945.5,5898.75,5929.5,,5945.5,5898.75,5929.5,5851.52875
2013-01-22,5927.75,5962.25,5901.25,5922.5,,5962.25,5901.25,5922.5,5852.07
2013-01-28,5923,5957.5,5909.75,5949.75,,5957.5,5909.75,5949.75,5853.465
2013-02-04,5952.75,5972,5902.5,5965.5,,5972,5902.5,5965.5,5855.71625
2013-02-11,5964.75,5975.25,5947.75,5955,,5975.25,5947.75,5955,5857.18
2013-02-19,5953.25,5980,5893,5929,,5980,5893,5929,5859.47125
2013-02-25,5930.25,5958,5882.5,5942.5,,5958,5882.5,5942.5,5863.01
2013-03-04,5939,6021.25,5926.25,5997.25,,6021.25,5926.25,5997.25,5870.14875
2013-03-11,5995,6006.5,5981,5990.25,,6006.5,5981,5990.25,5877.1725
2013-03-18,5972.5,6005,5946.75,5998,,6005,5946.75,5998,5884.8525
2013-03-25,5992,6013.25,5969.5,6011.75,,6013.25,5969.5,6011.75,5890.47125
2013-04-01,6009.5,6021.5,5936,5963.75,,6021.5,5936,5963.75,5896.46625
2013-04-08,5961.75,6057,5955.5,6046.25,,6057,5955.5,6046.25,5903.4625
2013-04-15,6045,6049.5,5922.5,5970,,6049.5,5922.5,5970,5908.63
2013-04-22,5971,6053,5969.25,6032.25,,6053,5969.25,6032.25,5914.72875
2013-04-29,6032.25,6146.25,6026,6136,,6146.25,6026,6136,5922.90125
2013-05-06,6135.25,6177.25,6135,6175.5,,6177.25,6135,6175.5,5932.585
2013-05-13,6170.75,6226.75,6159,6224.25,,6226.75,6159,6224.25,5942.47125
2013-05-20,6219.75,6252,6159.75,6191.5,,6252,6159.75,6191.5,5951.07
2013-05-28,6189.75,6235.25,6174.75,6174.75,,6235.25,6174.75,6174.75,5956.8425
2013-06-03,6179.5,6205.5,6109,6183.5,,6205.5,6109,6183.5,5962.22125
2013-06-10,6179.5,6202.5,6096.25,6139.75,,6202.5,6096.25,6139.75,5967.10625
2013-06-17,6135,6201.75,6048.75,6068,,6201.75,6048.75,6068,5971.6525
2013-06-24,6069.25,6124.75,6020.5,6101.75,,6124.75,6020.5,6101.75,5974.05125
2013-07-01,6105.5,6174,6097,6165.25,,6174,6097,6165.25,5976.18875
2013-07-08,6164.25,6273.25,6151.5,6267.75,,6273.25,6151.5,6267.75,5980.87625
2013-07-15,6265.5,6289.75,6233.25,6247.75,,6289.75,6233.25,6247.75,5987.985
2013-07-22,6246.5,6276.25,6226.25,6276,,6276.25,6226.25,6276,5994.9625
2013-07-29,6272.75,6340.75,6259.5,6338.75,,6340.75,6259.5,6338.75,6004.58
2013-08-05,6339,6343,6293.5,6315.5,,6343,6293.5,6315.5,6015.42375
2013-08-12,6316.25,6350.75,6269.25,6271.5,,6350.75,6269.25,6271.5,6026.98875
2013-08-19,6271.25,6329.75,6258.25,6324,,6329.75,6258.25,6324,6038.00875
2013-08-26,6323,6350,6255.25,6282,,6350,6255.25,6282,6050.95375
2013-09-03,6291.5,6353,6278.75,6335.75,,6353,6278.75,6335.75,6062.78875
2013-09-09,6335.5,6392,6333.25,6383.5,,6392,6333.25,6383.5,6077.0525
2013-09-16,6399,6451.5,6365.75,6427.25,,6451.5,6365.75,6427.25,6090.9525
2013-09-23,6432.75,6447,6405.75,6435.5,,6447,6405.75,6435.5,6105.5775
2013-09-30,6421.5,6461.25,6388.25,6443,,6461.25,6388.25,6443,6120.18125
2013-10-07,6434,6442.75,6320.75,6440.5,,6442.75,6320.75,6440.5,6133.5025
2013-10-14,6415,6558,6405,6554.75,,6558,6405,6554.75,6149.2975
2013-10-21,6554.75,6602.75,6532.25,6585.5,,6602.75,6532.25,6585.5,6165.6625
2013-10-28,6584.25,6611.75,6567.5,6578.75,,6611.75,6567.5,6578.75,6182.2475
2013-11-04,6578,6608,6520,6571.75,,6608,6520,6571.75,6198.415
2013-11-11,6571.5,6631.25,6548.25,6627.5,,6631.25,6548.25,6627.5,6215.02375
2013-11-18,6626.5,6635.75,6568.5,6631,,6635.75,6568.5,6631,6231.62
2013-11-25,6632.5,6706.5,6630.25,6697.5,,6706.5,6630.25,6697.5,6245.7375
2013-12-02,6703,6721,6663.25,6715.75,,6721,6663.25,6715.75,6264.6125
2013-12-09,6715,6734.75,6659.75,6667.25,,6734.75,6659.75,6667.25,6283.92125
2013-12-16,6667,6751.5,6629.5,6751,,6751.5,6629.5,6751,6301.9775
2013-12-23,6755.25,6801.75,6755.25,6784.75,,6801.75,6755.25,6784.75,6317.7375
2013-12-30,6784,6809,6741.5,6745,,6809,6741.5,6745,6333.60125
